County,targetFormation,totalDepth,TVD,spudDate,completionDate,perfInterval,horizontalLength,firstProdDate,lastProdDate,stage,stageLength,stageper1kPI,maxInjRate,maxInjPres,totalProp,propperPI,propperStage,totalFluid,fluidperPI,fluidperStage,proppantConcentrationLbsPerBbl,peakGas,peakOil,First6Gas,First6Gasperstage,First6GasperPI,First6GasperTP,First6GasperTF,First6Oil,First6Oilperstage,First6OilperPI,First6OilperTP,First6OilperTF,First6Water,First6Wperstage,First6WperPI,First6WperTP,First6WperTF,First12BOE,First12Gas,First12Gperstage,First12GperPI,First12GperTP,First12GperTF,First12Oil,First12Operstage,First12OperPI,First12OperTP,First12OperTF,oilGravity
MCKENZIE,BAKKEN,20298,11124.82,2/17/2015,4/15/2015,8655,9525.59,4/1/2015,5/1/2018,30,288.5,3.466204506,41,8716,3180938,367.5260543,106031.2667,52301,6.042865396,1743.366667,60.81983136,25883,14905,101526,3384.2,11.73032929,31.91700058,1941.186593,59232,1974.4,6.843674177,18620.92251,1132.521367,60425,2014.166667,6.981513576,18.99596911,1155.331638,110670,165857,5528.566667,19.16314269,52.14090938,3171.201315,83028,2767.6,9.593067591,26101.73477,1587.503107,
MCKENZIE,BAKKEN,20566,10588.28,12/11/2014,6/11/2015,9316,10017.03,6/1/2015,5/1/2018,25,372.64,2.683555174,66,9014,3976426,426.8383426,159057.04,206444,22.16015457,8257.76,19.26152371,12803,11505,50227,2009.08,5.391477029,12.63119193,243.2960028,51692,2067.68,5.548733362,12999.61322,250.3923582,126206,5048.24,13.54723057,31.73855115,611.3328554,87521,71535,2861.4,7.678724775,17.98977273,346.5104338,75599,3023.96,8.114963504,19011.79602,366.1961597,
MCKENZIE,BAKKEN,21000,10515.6,3/20/2015,6/13/2015,9452,10515.86,6/1/2015,5/1/2018,25,378.08,2.644942869,68,8496,3948347,417.7260897,157933.88,206162,21.81146847,8246.48,19.15167199,12227,13860,40816,1632.64,4.318239526,10.3374906,197.9802291,54281,2171.24,5.742805755,13747.7785,263.2929444,99857,3994.28,10.5646424,25.2908369,484.3618126,92627,58475,2339,6.186521371,14.80999517,283.6361696,82882,3315.28,8.768726196,20991.56938,402.0236513,
MCKENZIE,THREE FORKS,21302,10868.31,12/17/2014,9/9/2015,10122,10772.46,9/1/2015,5/1/2018,30,337.4,2.963841138,37,8985,3693550,364.9031812,123118.3333,82801,8.180300336,2760.033333,44.60755305,19745,10025,23961,798.7,2.367219917,6.487254809,289.380563,13071,435.7,1.291345584,3538.871817,157.8604123,32614,1087.133333,3.222090496,8.82998741,393.8841318,31606,33736,1124.533333,3.332938155,9.133760204,407.4346928,25984,866.1333333,2.567081604,7034.96636,313.8126351,42.2
MCKENZIE,THREE FORKS,15610,11039.46,1/7/2015,11/21/2015,4028,4416.88,10/1/2015,5/1/2018,18,223.7777778,4.468718967,38.8,8778,4396253,1091.423287,244236.2778,91751,22.77830189,5097.277778,47.9150418,15463,5722,50819,2823.277778,12.61643496,11.55961679,553.8795217,20028,1112.666667,4.972194638,4555.697773,218.2864492,36403,2022.388889,9.037487587,8.280460656,396.7586184,55564,89514,4973,22.22293942,20.36143052,975.6187943,40645,2258.055556,10.09061569,9245.373276,442.9924469,44.8
MCKENZIE,BAKKEN,15385,10925.94,1/16/2015,11/2/2015,3895,4357.83,10/1/2015,5/1/2018,18,216.3888889,4.621309371,39.6,8384,4548409,1167.755841,252689.3889,89280,22.92169448,4960,50.94544131,32796,20195,85350,4741.666667,21.9127086,18.76480325,955.9811828,66714,3706.333333,17.12811297,14667.54639,747.2446237,41829,2323.833333,10.73915276,9.196402522,468.5147849,98597,103360,5742.222222,26.53658537,22.72442958,1157.706093,81371,4520.611111,20.89114249,17889.99186,911.4135305,44.8
MCKENZIE,THREE FORKS,15617,11070.03,1/17/2015,11/7/2015,4008,4374.33,10/1/2015,5/1/2018,18,222.6666667,4.491017964,40,7441,4534221,1131.292665,251901.1667,87389,21.80364271,4854.944444,51.88548902,15821,5766,46955,2608.611111,11.71531936,10.35569285,537.3101878,22730,1262.777778,5.671157685,5012.989001,260.1013858,32909,1828.277778,8.210828343,7.257917071,376.5805765,53098,79581,4421.166667,19.85553892,17.55119567,910.6523704,39835,2213.055556,9.938872255,8785.412092,455.8354026,44.8
MCKENZIE,BAKKEN,20939,10656.37,11/26/2014,5/23/2015,9920,10617.37,5/1/2015,5/1/2018,31,320,3.125,52.3,9059,4006097,403.8404234,129228.9355,79289,7.992842742,2557.709677,50.52525571,9745,20308,34305,1106.612903,3.458165323,8.563197546,432.6577457,70757,2282.483871,7.132762097,17662.3282,892.3936486,84102,2712.967742,8.478024194,20.99350066,1060.701989,107535,64829,2091.258065,6.535181452,16.1825837,817.6291793,96731,3120.354839,9.751108871,24145.94554,1219.980073,44
MCKENZIE,THREE FORKS,19905,10706.46,11/27/2014,2/27/2015,8743,9509.69,4/1/2015,5/1/2018,31,282.0322581,3.545693698,50,9176,4051433,463.3916276,130691.3871,97402,11.1405696,3142,41.59496725,6362,10930,23333,752.6774194,2.668763582,5.759196808,239.5536026,42398,1367.677419,4.849365206,10464.9392,435.2888031,110671,3570.032258,12.65824088,27.31650752,1136.229236,59921,35044,1130.451613,4.00823516,8.649778979,359.7872734,54081,1744.548387,6.185634222,13348.61023,555.2350054,44
MCKENZIE,BAKKEN,21025,10677.89,11/29/2014,5/25/2015,10061,10627.03,5/1/2015,5/1/2018,31,324.5483871,3.081204652,50.4,8697,4016159,399.1808965,129553.5161,78878,7.839976146,2544.451613,50.9160856,17849,20865,46992,1515.870968,4.670708677,11.70073197,595.7554705,78829,2542.870968,7.835105854,19627.95796,999.3787875,86966,2805.354839,8.643872378,21.65402316,1102.538097,133127,122710,3958.387097,12.19660074,30.5540692,1555.693603,112676,3634.709677,11.19928437,28055.66214,1428.484495,44
MCKENZIE,THREE FORKS,20917,10855.96,1/8/2015,7/25/2015,9780,10080.6,7/1/2015,5/1/2018,40,244.5,4.08997955,36,8358,3647913,372.9972393,91197.825,91549,9.360838446,2288.725,39.84656304,45578,19236,95774,2394.35,9.792842536,26.25446385,1046.150149,80721,2018.025,8.253680982,22127.99483,881.724541,18735,468.375,1.915644172,5.135813272,204.6445073,179695,219348,5483.7,22.42822086,60.12972349,2395.962818,143137,3578.425,14.63568507,39238.052,1563.501513,
MCKENZIE,BAKKEN,20608,10739.57,1/11/2015,8/4/2015,9651,10045.69,8/1/2015,5/1/2018,45,214.4666667,4.662729251,37,8502,3501077,362.7683142,77801.71111,88940,9.215625324,1976.444444,39.36448167,24079,17212,93115,2069.222222,9.648222982,26.59610171,1046.941758,76285,1695.222222,7.904362242,21789.0095,857.713065,24903,553.4,2.580354367,7.1129541,279.9977513,171143,200775,4461.666667,20.80354367,57.34663933,2257.420733,137681,3059.577778,14.2659828,39325.32761,1548.021138,
MCKENZIE,BAKKEN,21040,11177.36,3/5/2015,7/8/2015,9552,10111.35,12/1/2015,5/1/2018,31,308.1290323,3.245393635,51,8835,1013309,106.083438,32687.3871,79057,8.2764866,2550.225806,12.81744817,41720,21558,97108,3132.516129,10.16624791,95.8325644,1228.328927,82832,2672,8.671691792,81744.0682,1047.750357,97851,3156.483871,10.24403266,96.56580569,1237.727209,134894,120385,3883.387097,12.60311977,118.8038397,1522.762058,114830,3704.193548,12.02156616,113321.8002,1452.4963,
MCKENZIE,BAKKEN,20603,10834.99,12/27/2014,4/9/2015,10322,9781.82,4/1/2015,5/1/2018,35,294.9142857,3.390815733,27,7965,2494459,241.6643092,71270.25714,36972,3.58186398,1056.342857,67.46886833,48241,30234,167293,4779.8,16.20742104,67.06584474,4524.856648,102619,2931.971429,9.94177485,41138.77999,2775.586931,10450,298.5714286,1.012400698,4.189285132,282.646327,173950,226659,6475.971429,21.95882581,90.86499317,6130.55826,136174,3890.685714,13.19259833,54590.59459,3683.165639,42.9
MCKENZIE,THREE FORKS,20436,10896.35,12/28/2014,4/20/2015,10066,9755.85,4/1/2015,5/1/2018,35,287.6,3.47705146,26,8045,2443491,242.74697,69814.02857,38390,3.81382873,1096.857143,63.64915343,34099,23017,130162,3718.914286,12.93085635,53.26886819,3390.518364,80270,2293.428571,7.974369164,32850.54048,2090.909091,16703,477.2285714,1.659348301,6.835711693,435.0872623,143442,192827,5509.342857,19.15626863,78.91455299,5022.844491,111305,3180.142857,11.05752037,45551.63084,2899.32274,44.4
MCKENZIE,BAKKEN,20332,10854.93,12/31/2014,4/14/2015,10032,9729.89,4/1/2015,5/1/2018,35,286.6285714,3.488835726,27,7855,2446334,243.8530702,69895.25714,37451,3.733153907,1070.028571,65.32092601,37645,25268,152315,4351.857143,15.18291467,62.26255286,4067.047609,97336,2781.028571,9.702551834,39788.5162,2599.022723,9585,273.8571429,0.955442584,3.918107666,255.934421,170646,225711,6448.885714,22.49910287,92.26499734,6026.835064,133028,3800.8,13.26036683,54378.51087,3552.054685,44.2
